"ID_CLASSIFICACAO_PILOTOS","ID_RESULTADOS","ID_PILOTO","PONTOS_PILOTO","POSICAO_PILOTO","VITORIAS_PILOTO"
58269,14801,208,0,37,0
58268,14802,258,0,21,0
58267,14803,178,16,9,1
58266,14804,205,0,32,0
58265,14805,197,1,19,0
58264,14806,257,0,42,0
58263,14807,233,12,10,0
58262,14808,239,0,27,0
58261,14809,256,0,35,0
58260,14810,255,20,7,1
58259,14811,254,1,20,0
58258,14812,246,0,25,0
58257,14813,182,69,1,3
58256,14814,253,0,24,0
58255,14815,238,7,14,0
58254,14816,200,21,6,0
58253,14817,231,22,5,1
58252,14818,221,10,12,0
58251,14819,172,16,8,1
58250,14820,237,0,26,0
58249,14821,187,9,13,0
58248,14822,252,0,39,0
58247,14823,251,0,31,0
58246,14824,230,5,16,0
58354,14825,240,0,46,0
58353,14826,220,0,56,0
58352,14827,271,0,54,0
58351,14828,241,0,47,0
58350,14829,152,0,41,0
58349,14830,247,0,55,0
58348,14831,270,0,39,0
58347,14832,269,0,49,0
58346,14833,268,0,45,0
58345,14834,266,0,58,0
58344,14835,245,0,57,0
58343,14836,265,0,53,0
58342,14837,264,0,52,0
58341,14838,219,0,42,0
58340,14839,267,0,23,0
58339,14840,203,0,34,0
58338,14841,175,3,18,0
58337,14842,263,0,51,0
58336,14843,262,0,30,0
58335,14844,212,0,44,0
58334,14845,261,0,50,0
58333,14846,235,0,33,0
58332,14847,119,0,28,0
58331,14848,260,0,48,0
58330,14849,259,0,36,0
58329,14850,232,0,38,0
58328,14851,229,0,29,0
58327,14852,211,0,21,0
58326,14853,208,0,37,0
58325,14854,258,0,22,0
58324,14855,178,16,9,1
58323,14856,205,0,32,0
58322,14857,197,1,19,0
58321,14858,257,0,43,0
58320,14859,233,12,10,0
58319,14860,239,0,27,0
58318,14861,256,0,35,0
58317,14862,255,20,7,1
58316,14863,254,1,20,0
58315,14864,246,0,25,0
58314,14865,182,72,1,3
58313,14866,253,0,24,0
58312,14867,238,7,14,0
58311,14868,200,21,6,0
58310,14869,231,31,5,2
58309,14870,221,10,12,0
58308,14871,172,16,8,1
58307,14872,237,0,26,0
58306,14873,187,9,13,0
58305,14874,252,0,40,0
58304,14875,251,0,31,0
58303,14876,230,5,16,0
58302,14877,223,5,17,0
58301,14878,207,47,2,4
58300,14879,224,11,11,0
58299,14880,199,36,4,1
58298,14881,250,6,15,0
58297,14882,222,46,3,2
58412,14883,240,0,25,0
58411,14884,220,0,56,0
58410,14885,271,0,54,0
58409,14886,241,0,47,0
58408,14887,152,0,42,0
58407,14888,247,0,55,0
58406,14889,270,0,40,0
58405,14890,269,0,49,0
58404,14891,268,0,46,0
58403,14892,266,0,58,0
58402,14893,245,0,57,0
